Object	Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
3DMeasurePD3	C	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	[1 1 1]			[ArrayOf_3RGBNumbers]	
3DMeasurePD3	V	number	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE					
3DMeasurePD3	U	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE					
3DMeasurePD3	P	integer	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	3	[fn:Eval(@P>=0)]			precision digits
3DMeasurePD3	UT	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE					
3DMeasurePD3	S	dictionary	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	TRUE	FALSE				[AnnotProjection]	
3DMeasureRD3	Type	name	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE		[3DMeasure]			Table 326 and Table 330 - radial measurement
3DMeasureRD3	Subtype	name	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE		[RD3]			
3DMeasureRD3	TRL	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE					
3DMeasureRD3	AP	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE				[ArrayOf_3Numbers]	
3DMeasureRD3	A1	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE				[ArrayOf_3Numbers]	
3DMeasureRD3	A2	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE				[ArrayOf_3Numbers]	
3DMeasureRD3	N2	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE					
3DMeasureRD3	A3	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE				[ArrayOf_3Numbers]	
3DMeasureRD3	A4	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE				[ArrayOf_3Numbers]	
3DMeasureRD3	TP	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE				[ArrayOf_3Numbers]	
3DMeasureRD3	TX	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE				[ArrayOf_3Numbers]	
3DMeasureRD3	TY	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE				[ArrayOf_3Numbers]	
3DMeasureRD3	EL	number	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	60				line length in points
3DMeasureRD3	TS	number	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	12				text point size
3DMeasureRD3	C	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	[1 1 1]			[ArrayOf_3RGBNumbers]	
3DMeasureRD3	V	number	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE					
3DMeasureRD3	U	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE					
3DMeasureRD3	P	integer	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	3	[fn:Eval(@P>=0)]			precision digits
3DMeasureRD3	UT	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE					
3DMeasureRD3	SC	boolean	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	false				
3DMeasureRD3	R	boolean	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	true				
3DMeasureRD3	S	dictionary	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	TRUE	FALSE				[AnnotProjection]	
3DNode	Type	name	1.7		FALSE	FALSE	FALSE		[3DNode]			Table 323
3DNode	N	string	1.7		TRUE	FALSE	FALSE					
3DNode	O	number	1.7		FALSE	FALSE	FALSE		[fn:Eval((@O>=0) && (@O<=1))]			
3DNode	V	boolean	1.7		FALSE	FALSE	FALSE					
3DNode	M	array	1.7		FALSE	FALSE	FALSE				[ArrayOf3DTransMatrix]	
3DNode	Instance	dictionary	2.0		FALSE	FALSE	FALSE				[RichMediaInstance]	
3DNode	Data	stream;string-text	2.0		FALSE	[TRUE];[FALSE]	FALSE				[Stream];[]	
3DNode	RM	dictionary	2.0		FALSE	FALSE	FALSE				[3DRenderMode]	
3DReference	Type	name	1.6		FALSE	FALSE	FALSE		[3DRef]			Table 314
3DReference	3DD	stream	1.6		TRUE	TRUE	FALSE				[Stream]	
3DRenderMode	Type	name	1.7		FALSE	FALSE	FALSE		[3DRenderMode]			Table 318
3DRenderMode	Subtype	name	1.7		TRUE	FALSE	FALSE		[Solid,SolidWireframe,Transparent,TransparentWireframe,BoundingBox,TransparentBoundingBox,TransparentBoundingBoxOutline,Wireframe,ShadedWireframe,HiddenWireframe,Vertices,ShadedVertices,Illustration,SolidOutline,ShadedIllustration]			
3DRenderMode	AC	array	1.7		FALSE	FALSE	FALSE	[DeviceRGB 0 0 0]		[fn:Ignore((@Subtype==Solid) || (@Subtype==Transparent) || (@Subtype==ShadedWireframe) || (@Subtype==ShadedVertices))]	[ArrayOf_4ColourSpaceEntries]	Table 319
3DRenderMode	FC	array;name	1.7		FALSE	FALSE	FALSE	[];[BG]	[];[BG]		[ArrayOf_4ColourSpaceEntries];[]	
3DRenderMode	O	number	1.7		FALSE	FALSE	FALSE	0.5	[fn:Eval((@O>=0) && (@O<=1))]			Opacity
3DRenderMode	CV	number	1.7		FALSE	FALSE	FALSE	45				
3DStream	Type	name	1.6		FALSE	FALSE	FALSE		[3D]			Table 5 and Table 311
3DStream	Subtype	name	1.6		TRUE	FALSE	FALSE		[U3D,PRC,fn:SinceVersion(2.0,fn:Extension(ISO_TS_24064,STEP))]			
3DStream	VA	array	1.6		FALSE	FALSE	FALSE				[ArrayOf3DView]	
3DStream	DV	dictionary;integer;name;string	1.6		FALSE	FALSE	FALSE		[];[fn:Eval((@DV>=0) && (@DV<fn:ArrayLength(VA)))];[F,L];[]		[3DView];[];[];[]	
3DStream	Resources	name-tree	1.6		FALSE	FALSE	FALSE				[_UniversalDictionary]	
3DStream	OnInstantiate	stream	1.6		FALSE	TRUE	FALSE				[Stream]	
3DStream	AN	dictionary	1.7		FALSE	FALSE	FALSE				[3DAnimationStyle]	
3DStream	ColorSpace	array;name	2.0		FALSE	FALSE	FALSE		[];[DeviceRGB]		[CalRGBColorSpace,ICCBasedColorSpace];[]	
3DStream	Length	integer	1.6		TRUE	FALSE	FALSE					
3DStream	Filter	array;name	1.6		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,Crypt]	[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))];[]	[ArrayOfCompressionFilterNames];[]	
3DStream	DecodeParms	array;dictionary	1.6		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))];[]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
3DStream	F	dictionary;string	1.6		FALSE	FALSE	FALSE				[FileSpecification];[]	
3DStream	FFilter	array;name	1.6		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,Crypt]	[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))];[]	[ArrayOfCompressionFilterNames];[]	
3DStream	FDecodeParms	array;dictionary	1.6		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))];[]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
3DStream	DL	integer	1.6		FALSE	FALSE	FALSE			[fn:Eval(@DL>=0)]		
3DUnits	TSm	number	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	1				Table 325
3DUnits	TSn	number	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	1				
3DUnits	TU	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		fn:IsRequired(fn:IsPresent(TSm) || fn:IsPresent(TSn))	FALSE	FALSE					
